frame	crossing	top_r1	split_r1
4089	16	E2	FF
4090	16	E2	FF
4091	16	E2	FF
4092	16	E2	FF
4093	16	E2	FF
4094	16	E2	FF
4095	16	E2	FF
4096	16	E2	FF
4097	16	E2	FF
4098	16	E2	FF
4099	16	E2	FF
4100	16	E2	FF
4101	16	E2	FF
4102	16	E2	FF
4103	16	E2	FF
4104	16	E2	FF
4105	16	E2	FF
4106	16	E2	FF
4107	16	E2	FF
4108	16	E2	FF
4109	16	E2	FF
4110	16	E2	FF
4111	16	E2	FF
4112	16	E2	FF
4113	16	E2	FF
4114	16	E2	FF
4115	16	E2	FF
4116	16	E2	FF
4117	16	E2	FF
4118	16	E2	FF
4119	16	E2	FF
4120	16	E2	FF
4121	16	E2	FF
4122	16	E2	FF
4123	16	E2	FF
4124	16	E2	FF
4125	16	E2	FF
4126	16	E2	FF
4127	16	E2	FF
4128	16	E2	FF
4129	16	E2	FF
4130	16	E2	FF
4131	16	E2	FF
4132	16	E2	FF
4133	16	E2	FF
4134	16	E2	FF
4135	16	E2	FF
4136	16	E2	FF
4137	16	E2	FF
4138	16	E2	FF
4139	16	E2	FF
4140	16	E2	FF
4141	16	E2	FF
4142	16	E2	FF
4143	16	E2	FF
4144	16	E2	FF
4145	16	E2	FF
4146	16	E2	FF
4147	16	E2	FF
4148	16	E2	FF
4149	16	E2	FF
4150	16	E2	FF
4151	16	E2	FF
4152	16	E2	FF
4153	16	E2	FF
4154	16	E2	FF
4155	16	E2	FF
4156	16	E2	FF
4157	16	E2	FF
4158	16	E2	FF
4159	16	E2	FF
4160	16	E2	FF
4161	16	E2	FF
4162	16	E2	FF
4163	16	E2	FF
4164	16	E2	FF
4165	16	E2	FF
4166	16	E2	FF
4167	16	E2	FF
4168	16	E2	FF
4169	16	E2	FF
4170	16	E2	FF
4171	16	E2	FF
4172	16	E2	FF
4173	16	E2	FF
4174	16	E2	FF
4175	16	E2	FF
4176	16	E2	FF
4177	16	E2	FF
4178	16	E2	FF
4179	16	E2	FF
4180	16	E2	FF
4181	16	E2	FF
4182	16	E2	FF
4183	16	E2	FF
4184	16	E2	FF
4185	16	E2	FF
4186	16	E2	FF
4187	16	E2	FF
4188	16	E2	FF
4189	16	E2	FF
4190	16	E2	FF
4191	16	E2	FF
4192	16	E2	FF
4193	16	E2	FF
4194	16	E2	FF
4195	16	E2	FF
4196	16	E2	FF
4197	16	E2	FF
4198	16	E2	FF
4199	16	E2	FF
4200	16	E2	FF
4201	16	E2	FF
4202	16	E2	FF
4203	16	E2	FF
4204	16	E2	FF
4205	16	E2	FF
4206	16	E2	FF
4207	16	E2	FF
4208	16	E2	FF
4209	16	E2	FF
4210	16	E2	FF
4211	16	E2	FF
4212	16	E2	FF
4213	16	E2	FF
4214	16	E2	FF
4215	16	E2	FF
4216	16	E2	FF
4217	16	E2	FF
4218	16	E2	FF
4219	16	E2	FF
4220	16	E2	FF
4221	16	E2	FF
4222	16	E2	FF
4223	16	E2	FF
4224	16	E2	FF
4225	16	E2	FF
4226	16	E2	FF
4227	16	E2	FF
4228	16	E2	FF
4229	16	E2	FF
4230	16	E2	FF
4231	16	E2	FF
4232	16	E2	FF
4233	16	E2	FF
4234	16	E2	FF
4235	16	E2	FF
4236	16	E2	FF
4237	16	E2	FF
4238	16	E2	FF
4239	16	E2	FF
4240	16	E2	FF
4241	16	E2	FF
4242	16	E2	FF
4243	16	E2	FF
4244	16	E2	FF
