frame	crossing_weapon	top_r0	ui_r2	ui_r3	backup_r2	backup_r3	flag
6750	2	08	00	00	00	00	00
6751	2	08	00	00	00	00	00
6752	2	08	00	00	00	00	00
6753	2	08	00	00	00	00	00
6754	2	08	00	00	00	00	00
6755	2	08	00	00	00	00	00
6756	2	08	00	00	00	00	00
6757	2	08	00	00	00	00	00
6758	2	08	00	00	00	00	00
6759	2	08	00	00	00	00	00
6760	2	08	00	00	00	00	00
6761	2	08	00	00	00	00	00
6762	2	08	00	00	00	00	00
6763	2	08	00	00	00	00	00
6764	2	08	00	00	00	00	00
6765	2	08	00	00	00	00	00
6766	2	08	00	00	00	00	00
6767	2	08	00	00	00	00	00
6768	2	08	00	00	00	00	00
6769	2	08	00	00	00	00	00
6770	2	08	00	00	00	00	00
6771	2	08	00	00	00	00	00
6772	2	08	00	00	00	00	00
6773	2	08	00	00	00	00	00
6774	2	08	00	00	00	00	00
6775	2	08	00	00	00	00	00
6776	2	08	00	00	00	00	00
6777	2	08	00	00	00	00	00
6778	2	08	00	00	00	00	00
6779	2	08	00	00	00	00	00
6780	2	08	00	00	00	00	00
6781	2	08	00	00	00	00	00
6782	2	08	00	00	00	00	00
6783	2	08	00	00	00	00	00
6784	2	08	00	00	00	00	00
6785	2	08	00	00	00	00	00
6786	2	08	00	00	00	00	00
6787	2	08	00	00	00	00	00
6788	2	08	00	00	00	00	00
6789	2	08	00	00	00	00	00
6790	2	08	00	00	00	00	00
6791	2	08	00	00	00	00	00
6792	2	08	00	00	00	00	00
6793	2	08	00	00	00	00	00
6794	2	08	00	00	00	00	00
6795	2	08	00	00	00	00	00
6796	2	08	00	00	00	00	00
6797	2	08	00	00	00	00	00
6798	2	08	00	00	00	00	00
6799	2	08	00	00	00	00	00
6800	2	08	00	00	00	00	00
6801	2	08	00	00	00	00	00
6802	2	08	00	00	00	00	00
6803	2	08	00	00	00	00	00
6804	2	08	00	00	00	00	00
6805	2	08	00	00	00	00	00
6806	2	08	00	00	00	00	00
6807	2	08	00	00	00	00	00
6808	2	08	00	00	00	00	00
6809	2	08	00	00	00	00	00
6810	2	08	00	00	00	00	00
6811	2	08	00	00	00	00	00
6812	2	08	00	00	00	00	00
6813	2	08	00	00	00	00	00
6814	2	08	00	00	00	00	00
6815	2	08	00	00	00	00	00
6816	2	08	00	00	00	00	00
6817	2	08	00	00	00	00	00
6818	2	08	00	00	00	00	00
6819	2	08	00	00	00	00	00
6820	2	08	00	00	00	00	00
6821	2	08	00	00	00	00	00
6822	2	08	00	00	00	00	00
6823	2	08	00	00	00	00	00
6824	2	08	00	00	00	00	00
6825	2	08	00	00	00	00	00
6826	2	08	00	00	00	00	00
6827	2	08	00	00	00	00	00
6828	2	08	00	00	00	00	00
6829	2	08	00	00	00	00	00
6830	2	08	00	00	00	00	00
6831	2	08	00	00	00	00	00
6832	2	08	00	00	00	00	00
6833	2	08	00	00	00	00	00
6834	2	08	00	00	00	00	00
6835	2	08	00	00	00	00	00
6836	2	08	00	00	00	00	00
6837	2	08	00	00	00	00	00
6838	2	08	00	00	00	00	00
6839	2	08	00	00	00	00	00
6840	2	08	00	00	00	00	00
6841	2	08	00	00	00	00	00
6842	2	08	00	00	00	00	00
6843	2	08	00	00	00	00	00
6844	2	08	00	00	00	00	00
6845	2	08	00	00	00	00	00
6846	2	08	00	00	00	00	00
6847	2	08	00	00	00	00	00
6848	2	08	00	00	00	00	00
6849	2	08	00	00	00	00	00
6850	2	08	00	00	00	00	00
6851	2	08	00	00	00	00	00
6852	2	08	00	00	00	00	00
6853	2	08	00	00	00	00	00
6854	2	08	00	00	00	00	00
6855	2	08	00	00	00	00	00
6856	2	08	00	00	00	00	00
6857	2	08	00	00	00	00	00
6858	2	08	00	00	00	00	00
6859	2	08	00	00	00	00	00
6860	2	08	00	00	00	00	00
6861	2	08	00	00	00	00	00
6862	2	08	00	00	00	00	00
6863	2	08	00	00	00	00	00
6864	2	08	00	00	00	00	00
6865	2	08	00	00	00	00	00
6866	2	08	00	00	00	00	00
6867	2	08	00	00	00	00	00
6868	2	08	00	00	00	00	00
6869	2	08	00	00	00	00	00
6870	2	08	00	00	00	00	00
6871	2	08	00	00	00	00	00
6872	2	08	00	00	00	00	00
6873	2	08	00	00	00	00	00
6874	2	08	00	00	00	00	00
6875	2	08	00	00	00	00	00
6876	2	08	00	00	00	00	00
6877	2	08	00	00	00	00	00
6878	2	08	00	00	00	00	00
6879	2	08	00	00	00	00	00
6880	2	08	00	00	00	00	00
6881	2	08	00	00	00	00	00
6882	2	08	00	00	00	00	00
6883	2	08	00	00	00	00	00
6884	2	08	00	00	00	00	00
6885	2	08	00	00	00	00	00
6886	2	08	00	00	00	00	00
6887	2	08	00	00	00	00	00
6888	2	08	00	00	00	00	00
6889	2	08	00	00	00	00	00
6890	2	08	00	00	00	00	00
6891	2	08	00	00	00	00	00
6892	2	08	00	00	00	00	00
6893	2	08	00	00	00	00	00
6894	2	08	00	00	00	00	00
