frame	crossing	r0	top_r1	split_r1	r5
6920	0	FC	E2	14	14
6921	0	FC	E2	14	14
6922	0	FC	E2	14	14
6923	0	FC	E2	14	14
6924	0	FC	E2	14	14
6925	0	FC	E2	14	14
6926	0	FC	E2	14	14
6927	0	FC	E2	14	14
6928	0	FC	E2	14	14
6929	0	FC	E2	14	14
6930	0	FC	E2	14	14
6931	0	FC	E2	14	14
6932	0	FC	E2	14	14
6933	0	FC	E2	14	14
6934	0	FC	E2	14	14
6935	0	FC	E2	14	14
6936	0	FC	E2	14	14
6937	0	FC	E2	14	14
6938	0	FC	E2	14	14
6939	0	FC	E2	14	14
6940	0	FC	E2	14	14
6941	0	FC	E2	14	14
6942	0	FC	E2	14	14
6943	0	FC	E2	14	14
6944	0	FC	E2	14	14
6945	0	FC	E2	14	14
6946	0	FC	E2	14	14
6947	0	FC	E2	14	14
6948	0	FC	E2	14	14
6949	0	FC	E2	14	14
6950	0	FC	E2	14	14
6951	0	FC	E2	14	14
6952	0	FC	E2	14	14
6953	0	FC	E2	14	14
6954	0	FC	E2	14	14
6955	0	FC	E2	14	14
6956	0	FC	E2	14	14
6957	0	FC	E2	14	14
6958	0	FC	E2	14	14
6959	0	FC	E2	14	14
6960	0	FC	E2	14	14
6961	0	FC	E2	14	14
6962	0	FC	E2	14	14
6963	0	FC	E2	14	14
6964	0	FC	E2	14	14
6965	0	FC	E2	14	14
6966	0	FC	E2	14	14
6967	0	FC	E2	14	14
6968	0	FC	E2	14	14
6969	0	FC	E2	14	14
6970	0	FC	E2	14	14
6971	0	FC	E2	14	14
6972	0	FC	E2	14	14
6973	0	FC	E2	14	14
6974	0	FC	E2	14	14
6975	0	FC	E2	14	14
6976	0	FC	E2	14	14
6977	0	FC	E2	14	14
6978	0	FC	E2	14	14
6979	0	FC	E2	14	14
6980	0	FC	E2	14	14
6981	0	FC	E2	14	14
6982	0	FC	E2	14	14
6983	0	FC	E2	14	14
6984	0	FC	E2	14	14
6985	0	FC	E2	14	14
6986	0	FC	E2	14	14
6987	0	FC	E2	14	14
6988	0	FC	E2	14	14
6989	0	FC	E2	14	14
6990	0	FC	E2	14	14
6991	0	FC	E2	14	14
6992	0	FC	E2	14	14
6993	0	FC	E2	14	14
6994	0	FC	E2	14	14
6995	0	FC	E2	14	14
6996	0	FC	E2	14	14
6997	0	FC	E2	14	14
6998	0	FC	E2	14	14
6999	0	FC	E2	14	14
7000	0	FC	E2	14	14
7001	0	FC	E2	14	14
7002	0	FC	E2	14	14
7003	0	FC	E2	14	14
7004	0	FC	E2	14	14
7005	0	FC	E2	14	14
7006	0	FC	E2	14	14
7007	0	FC	E2	14	14
7008	0	FC	E2	14	14
7009	0	FC	E2	14	14
7010	0	FC	E2	14	14
7011	0	FC	E2	14	14
7012	0	FC	E2	14	14
7013	0	FC	E2	14	14
7014	0	FC	E2	14	14
7015	0	FC	E2	14	14
7016	0	FC	E2	14	14
7017	0	FC	E2	14	14
7018	0	FC	E2	14	14
7019	0	FC	E2	14	14
7020	0	FC	E2	14	14
7021	0	FC	E2	14	14
7022	0	FC	E2	14	14
7023	0	FC	E2	14	14
7024	0	FC	E2	14	14
7025	0	FC	E2	14	14
