frame	crossing	04D9	03BC_03C5	03C6_03CF
6812	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6813	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6814	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6815	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6816	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6817	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6818	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6819	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6820	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6821	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6822	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6823	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6824	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6825	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6826	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6827	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6828	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6829	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6830	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6831	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6832	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6833	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6834	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6835	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6836	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6837	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6838	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6839	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6840	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
6841	16	E2	FC FC 08 00 00 00 00 00 00 00	E2 0A 00 00 00 00 00 00 00 00
