10	F871	1	00	00	00	00
20	DD24	0	00	00	00	00
30	C4C8	1	00	00	00	08
40	D47A	0	00	00	00	08
50	F7ED	0	00	00	00	08
60	F874	5	00	00	00	08
70	F871	10	00	00	00	08
80	F873	10	00	00	00	08
90	F873	10	00	00	00	08
100	F873	10	00	00	00	08
110	F872	10	00	00	00	08
120	F871	10	00	00	00	08
130	F875	10	00	00	00	08
140	F873	10	00	00	00	08
150	F871	10	00	00	00	08
160	F873	10	00	00	00	08
170	F875	10	00	00	00	08
180	F872	10	00	00	00	08
190	F875	10	00	00	00	08
200	F872	10	00	00	00	08
210	F874	10	00	00	00	08
220	F871	10	00	00	00	08
230	F873	10	00	00	00	08
240	F871	10	00	00	00	08
250	F873	10	00	00	00	08
260	D45D	1	00	00	00	00
270	D47E	0	00	00	00	00
280	F981	8	00	00	00	00
290	F981	10	00	00	00	00
300	F981	10	00	00	00	00
310	F981	10	00	00	00	00
320	F981	10	00	00	00	00
330	F981	10	00	00	00	00
340	F981	10	00	00	00	00
350	F981	10	00	00	00	00
360	F981	10	00	00	00	00
370	F981	10	00	00	00	00
380	F981	10	00	00	00	00
390	F981	10	00	00	00	00
400	F981	10	00	00	00	00
410	F981	10	00	00	00	00
420	F981	10	00	00	00	00
430	F981	10	00	00	00	00
440	F981	10	00	00	00	00
450	8055	7	00	00	00	00
460	D92A	1	00	00	00	08
470	D41D	0	00	00	00	08
480	F875	1	00	00	00	08
490	F981	10	00	00	00	08
500	F981	10	00	00	00	08
510	F981	10	00	00	00	08
520	F981	10	00	00	00	08
530	F981	10	00	00	00	08
540	F981	10	00	00	00	08
550	D932	4	00	00	00	08
560	F981	5	00	00	00	08
570	F981	10	00	00	00	08
580	F981	10	00	00	00	08
590	F981	10	00	00	00	08
600	F981	10	00	00	00	08
610	F981	10	00	00	00	08
620	F981	10	00	00	00	08
630	F981	10	00	00	00	08
640	F981	10	00	00	00	08
650	F981	10	00	00	00	08
660	F981	10	00	00	00	08
670	F981	10	00	00	00	08
680	F981	10	00	00	00	08
690	F981	10	00	00	00	08
700	F981	10	00	00	00	08
710	F981	10	00	00	00	08
720	F981	10	00	00	00	08
730	F981	10	00	00	00	08
740	F981	10	00	00	00	08
750	F981	10	00	00	00	08
760	F981	10	00	00	00	08
770	F981	10	00	00	00	08
780	F981	10	00	00	00	08
790	F981	10	00	00	00	08
800	F981	10	00	00	00	08
810	F981	10	00	00	00	08
820	F981	10	00	00	00	08
830	F981	10	00	00	00	08
840	F981	10	00	00	00	08
850	F981	10	00	00	00	08
860	F981	10	00	00	00	08
870	F981	10	00	00	00	08
880	F981	10	00	00	00	08
890	F981	10	00	00	00	08
900	F981	10	00	00	00	08
910	F981	10	00	00	00	08
920	F981	10	00	00	00	08
930	F981	10	00	00	00	08
940	F981	10	00	00	00	08
950	F981	10	00	00	00	08
960	F981	10	00	00	00	08
970	F981	10	00	00	00	08
980	F981	10	00	00	00	08
990	F981	10	00	00	00	08
1000	F981	10	00	00	00	08
