frame	crossing	R0	R2	R3
6800	16	FC	FC	FD
6801	16	FC	FC	FD
6802	16	FC	FC	FD
6803	16	FC	FC	FD
6804	16	FC	FC	FD
6805	16	FC	FC	FD
6806	16	FC	FC	FD
6807	16	FC	FC	FD
6808	16	FC	FC	FD
6809	16	FC	FC	FD
6810	16	FC	FC	FD
6811	16	FC	FC	FD
6812	16	FC	FC	FD
6813	16	FC	FC	FD
6814	16	FC	FC	FD
6815	16	FC	FC	FD
6816	16	FC	FC	FD
6817	16	FC	FC	FD
6818	16	FC	FC	FD
6819	16	FC	FC	FD
6820	16	FC	FC	FD
6821	16	FC	FC	FD
6822	16	FC	FC	FD
6823	16	FC	FC	FD
6824	16	FC	FC	FD
6825	16	FC	FC	FD
6826	16	FC	FC	FD
6827	16	FC	FC	FD
6828	16	FC	FC	FD
6829	16	FC	FC	FD
6830	16	FC	FC	FD
6831	16	FC	FC	FD
6832	16	FC	FC	FD
6833	16	FC	FC	FD
6834	16	FC	FC	FD
6835	16	FC	FC	FD
6836	16	FC	FC	FD
6837	16	FC	FC	FD
6838	16	FC	FC	FD
6839	16	FC	FC	FD
6840	16	FC	FC	FD
6841	16	FC	FC	FD
6842	16	FC	FC	FD
6843	16	FC	FC	FD
6844	16	FC	FC	FD
6845	16	FC	FC	FD
6846	16	FC	FC	FD
6847	16	FC	FC	FD
6848	16	FC	FC	FD
6849	16	FC	FC	FD
6850	16	FC	FC	FD
6851	16	FC	FC	FD
6852	16	FC	FC	FD
6853	16	FC	FC	FD
6854	16	FC	FC	FD
6855	16	FC	FC	FD
6856	16	FC	FC	FD
6857	16	FC	FC	FD
6858	16	FC	FC	FD
6859	16	FC	FC	FD
6860	16	FC	FC	FD
6861	16	FC	FC	FD
6862	16	FC	FC	FD
6863	16	FC	FC	FD
6864	16	FC	FC	FD
6865	16	FC	FC	FD
6866	16	FC	FC	FD
RAM0380	43 B3 44 44 B1 00 00 00 00 00 08 EE 06 30 EE 00
RAM0390	00 00 00 00 88 88 8C 8D 8C 00 00 00 00 00 00 00
RAM03A0	00 00 00 00 00 00 00 00 00 00 00 40 80 00 00 00
RAM03B0	00 00 07 00 00 06 03 00 00 00 00 00 FC FC 08 00
RAM03C0	00 00 00 00 00 00 14 14 00 00 00 00 00 00 00 00
RAM03D0	A2 00 00 00 00 00 00 00 00 00 01 01 01 00 00 00
RAM03E0	00 00 00 00 02 02 02 00 00 00 00 00 00 00 14 14
RAM03F0	53 00 00 00 00 00 00 00 60 04 00 00 00 00 00 00
