1	FC	F4	00	01	0	0
2	FC	90	FC	FD	1	0
3	FC	F4	00	01	2	0
4	FC	F4	00	01	3	0
5	FC	F4	00	01	4	0
6	FC	F4	00	01	5	0
7	FC	29	00	01	6	0
8	FC	4C	00	01	7	0
9	FC	2C	00	01	8	0
10	FC	3B	00	01	9	0
11	FC	F4	00	01	10	0
12	FC	3C	00	01	11	0
13	FC	34	00	01	12	0
14	FC	2C	00	01	13	0
15	FC	44	00	01	14	0
16	FC	3C	00	01	15	0
17	FC	F4	00	01	16	0
18	FC	F4	00	01	17	0
19	FC	F4	00	01	18	0
20	FC	F4	00	01	19	0
21	FC	F4	00	01	20	0
22	FC	F4	00	01	21	0
23	FC	F4	00	01	22	0
24	FC	F4	00	01	23	0
25	FC	F4	00	01	24	0
26	FC	3B	00	01	25	0
27	FC	F4	00	01	26	0
28	FC	F4	00	01	27	0
29	FC	F4	00	01	28	0
30	FC	F4	00	01	29	0
31	FC	44	00	01	30	0
32	FC	3C	00	01	31	0
33	FC	56	00	01	32	0
34	FC	32	00	01	33	0
35	FC	2A	00	01	34	0
36	FC	F4	00	01	35	0
37	FC	F4	00	01	36	0
38	FC	39	00	01	37	0
39	FC	39	00	01	38	0
40	FC	38	00	01	39	0
41	FC	F4	00	01	40	0
42	FC	F4	00	01	41	0
43	FC	F4	00	01	42	0
44	FC	F4	00	01	43	0
45	FC	F4	00	01	44	0
46	FC	F4	00	01	45	0
47	FC	F4	00	01	46	0
48	FC	F4	00	01	47	0
49	FC	F4	00	01	48	0
50	FC	F4	00	01	49	0
51	FC	2A	00	01	50	0
52	FC	4D	00	01	51	0
53	FC	45	00	01	52	0
54	FC	31	00	01	53	0
55	FC	29	00	01	54	0
56	FC	38	00	01	55	0
57	FC	37	00	01	56	0
58	FC	2E	00	01	57	0
59	FC	4C	00	01	58	0
60	FC	3C	00	01	59	0
61	FC	F4	00	01	60	0
62	FC	F4	00	01	61	0
63	FC	F4	00	01	62	0
64	FC	F4	00	01	63	0
65	FC	F4	00	01	64	0
66	FC	F4	00	01	65	0
67	FC	F4	00	01	66	0
68	FC	F4	00	01	67	0
69	FC	F4	00	01	68	0
70	FC	F4	00	01	69	0
71	FC	29	00	01	70	0
72	FC	4C	00	01	71	0
73	FC	2C	00	01	72	0
74	FC	3B	00	01	73	0
75	FC	F4	00	01	74	0
76	FC	3C	00	01	75	0
77	FC	34	00	01	76	0
78	FC	2C	00	01	77	0
79	FC	44	00	01	78	0
80	FC	3C	00	01	79	0
81	FC	F4	00	01	80	0
82	FC	F4	00	01	81	0
83	FC	F4	00	01	82	0
84	FC	F4	00	01	83	0
85	FC	F4	00	01	84	0
86	FC	F4	00	01	85	0
87	FC	F4	00	01	86	0
88	FC	F4	00	01	87	0
89	FC	F4	00	01	88	0
90	FC	3B	00	01	89	0
91	FC	F4	00	01	90	0
92	FC	F4	00	01	91	0
93	FC	F4	00	01	92	0
94	FC	F4	00	01	93	0
95	FC	44	00	01	94	0
96	FC	3C	00	01	95	0
97	FC	56	00	01	96	0
98	FC	32	00	01	97	0
99	FC	2A	00	01	98	0
100	FC	F4	00	01	99	0
