frame	crossing_weapon	top_r0	ui_r2	ui_r3	backup_r2	backup_r3	flag
6750	0	08	00	00	00	00	00
6751	0	08	00	00	00	00	00
6752	0	08	00	00	00	00	00
6753	0	08	00	00	00	00	00
6754	0	08	00	00	00	00	00
6755	0	08	00	00	00	00	00
6756	0	08	00	00	00	00	00
6757	0	08	00	00	00	00	00
6758	0	08	00	00	00	00	00
6759	0	08	00	00	00	00	00
6760	0	08	00	00	00	00	00
6761	0	08	00	00	00	00	00
6762	0	08	00	00	00	00	00
6763	0	08	00	00	00	00	00
6764	0	08	00	00	00	00	00
6765	0	08	00	00	00	00	00
6766	0	08	00	00	00	00	00
6767	0	08	00	00	00	00	00
6768	0	08	00	00	00	00	00
6769	0	08	00	00	00	00	00
6770	0	08	00	00	00	00	00
6771	0	08	00	00	00	00	00
6772	0	08	00	00	00	00	00
6773	0	08	00	00	00	00	00
6774	0	08	00	00	00	00	00
6775	0	08	00	00	00	00	00
6776	0	08	00	00	00	00	00
6777	0	08	00	00	00	00	00
6778	0	08	00	00	00	00	00
6779	0	08	00	00	00	00	00
6780	0	08	00	00	00	00	00
6781	0	08	00	00	00	00	00
6782	0	08	00	00	00	00	00
6783	0	08	00	00	00	00	00
6784	0	08	00	00	00	00	00
6785	0	08	00	00	00	00	00
6786	0	08	00	00	00	00	00
6787	0	08	00	00	00	00	00
6788	0	08	00	00	00	00	00
6789	0	08	00	00	00	00	00
6790	0	08	00	00	00	00	00
6791	0	08	00	00	00	00	00
6792	0	08	00	00	00	00	00
6793	0	08	00	00	00	00	00
6794	0	08	00	00	00	00	00
6795	0	08	00	00	00	00	00
6796	0	08	00	00	00	00	00
6797	0	08	00	00	00	00	00
6798	0	08	00	00	00	00	00
6799	0	08	00	00	00	00	00
6800	0	08	00	00	00	00	00
6801	0	08	00	00	00	00	00
6802	0	08	00	00	00	00	00
6803	0	08	00	00	00	00	00
6804	0	08	00	00	00	00	00
6805	0	08	00	00	00	00	00
6806	0	08	00	00	00	00	00
6807	0	08	00	00	00	00	00
6808	0	08	00	00	00	00	00
6809	0	08	00	00	00	00	00
6810	0	08	00	00	00	00	00
6811	0	08	00	00	00	00	00
6812	0	08	00	00	00	00	00
6813	0	08	00	00	00	00	00
6814	0	08	00	00	00	00	00
6815	0	08	00	00	00	00	00
6816	0	08	00	00	00	00	00
6817	0	08	00	00	00	00	00
6818	0	08	00	00	00	00	00
6819	0	08	00	00	00	00	00
6820	0	08	00	00	00	00	00
6821	0	08	00	00	00	00	00
6822	0	08	00	00	00	00	00
6823	0	08	00	00	00	00	00
6824	0	08	00	00	00	00	00
6825	0	08	00	00	00	00	00
6826	0	08	00	00	00	00	00
6827	0	08	00	00	00	00	00
6828	0	08	00	00	00	00	00
6829	0	08	00	00	00	00	00
6830	0	08	00	00	00	00	00
6831	0	08	00	00	00	00	00
